"Step","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] recall (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] recall (PC)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] recall (PC)__MAX"
"79","0.5","0.5","0.5","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"80","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"81","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"82","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5","0.5","0.5"
"83","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"84","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"85","0","0","0","0.5","0.5","0.5","0","0","0"
"86","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.5","0.5","0.5"
"87","0","0","0","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"88","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"89","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.5","0.5","0.5"
"90","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.5","0.5","0.5"
"91","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"92","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"93","0.5","0.5","0.5","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"94","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"95","0","0","0","0","0","0","0.5","0.5","0.5"
"96","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5"
"97","0.5","0.5","0.5","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"98","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0","0","0"
"99","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"100","0.2","0.2","0.2","0.4","0.4","0.4","0.2","0.2","0.2"
