"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] E-SHD (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] E-SHD (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] E-SHD (DiBS+)__MAX"
"43","14.000001907348633","14.000001907348633","14.000001907348633","12.999999046325684","12.999999046325684","12.999999046325684","28.000003814697266","28.000003814697266","28.000003814697266"
"44","6","6","6","12.999999046325684","12.999999046325684","12.999999046325684","25.000001907348633","25.000001907348633","25.000001907348633"
"45","17.999906539916992","17.999906539916992","17.999906539916992","16","16","16","25.000001907348633","25.000001907348633","25.000001907348633"
"46","17","17","17","14.000001907348633","14.000001907348633","14.000001907348633","21.000001907348633","21.000001907348633","21.000001907348633"
"47","15.000000953674316","15.000000953674316","15.000000953674316","16","16","16","28.000003814697266","28.000003814697266","28.000003814697266"
"48","20.000001907348633","20.000001907348633","20.000001907348633","17","17","17","28.999998092651367","28.999998092651367","28.999998092651367"
"49","10","10","10","16","16","16","23.000001907348633","23.000001907348633","23.000001907348633"
"50","12","12","12","19","19","19","21.000001907348633","21.000001907348633","21.000001907348633"
"51","10","10","10","18","18","18","23.000001907348633","23.000001907348633","23.000001907348633"
"52","12.999999046325684","12.999999046325684","12.999999046325684","16","16","16","18","18","18"
"53","12","12","12","12.000895500183105","12.000895500183105","12.000895500183105","22.000001907348633","22.000001907348633","22.000001907348633"
"54","15.000000953674316","15.000000953674316","15.000000953674316","18","18","18","25.999998092651367","25.999998092651367","25.999998092651367"
"55","14.000001907348633","14.000001907348633","14.000001907348633","14.000001907348633","14.000001907348633","14.000001907348633","21.000001907348633","21.000001907348633","21.000001907348633"
"56","12","12","12","16","16","16","18","18","18"
"57","11.000000953674316","11.000000953674316","11.000000953674316","12.999999046325684","12.999999046325684","12.999999046325684","25.000001907348633","25.000001907348633","25.000001907348633"
"58","12.999999046325684","12.999999046325684","12.999999046325684","12.999999046325684","12.999999046325684","12.999999046325684","24","24","24"
"59","10","10","10","12.999999046325684","12.999999046325684","12.999999046325684","20.000001907348633","20.000001907348633","20.000001907348633"
"60","6","6","6","12.999999046325684","12.999999046325684","12.999999046325684","28.000003814697266","28.000003814697266","28.000003814697266"
"61","11.000000953674316","11.000000953674316","11.000000953674316","15.000000953674316","15.000000953674316","15.000000953674316","23.000001907348633","23.000001907348633","23.000001907348633"
"62","11.000000953674316","11.000000953674316","11.000000953674316","14.000001907348633","14.000001907348633","14.000001907348633","25.000001907348633","25.000001907348633","25.000001907348633"
"63","20.000001907348633","20.000001907348633","20.000001907348633","12.999999046325684","12.999999046325684","12.999999046325684","22.000001907348633","22.000001907348633","22.000001907348633"
"64","10","10","10","12.999999046325684","12.999999046325684","12.999999046325684","27.000001907348633","27.000001907348633","27.000001907348633"
"65","12","12","12","12.999999046325684","12.999999046325684","12.999999046325684","27.000001907348633","27.000001907348633","27.000001907348633"
"66","12","12","12","14.846341133117676","14.846341133117676","14.846341133117676","25.999998092651367","25.999998092651367","25.999998092651367"
"67","10","10","10","13.999995231628418","13.999995231628418","13.999995231628418","27.000001907348633","27.000001907348633","27.000001907348633"
"68","12.999999046325684","12.999999046325684","12.999999046325684","17","17","17","21.000001907348633","21.000001907348633","21.000001907348633"
"69","8","8","8","12.999999046325684","12.999999046325684","12.999999046325684","23.000001907348633","23.000001907348633","23.000001907348633"
"70","10","10","10","18","18","18","22.000001907348633","22.000001907348633","22.000001907348633"
"71","7.000000953674316","7.000000953674316","7.000000953674316","15.000000953674316","15.000000953674316","15.000000953674316","25.000001907348633","25.000001907348633","25.000001907348633"
"72","16","16","16","12","12","12","19","19","19"
"73","16","16","16","17","17","17","23.000001907348633","23.000001907348633","23.000001907348633"
"74","3","3","3","16","16","16","22.000001907348633","22.000001907348633","22.000001907348633"
"75","12.999999046325684","12.999999046325684","12.999999046325684","15.000086784362793","15.000086784362793","15.000086784362793","21.000001907348633","21.000001907348633","21.000001907348633"
"76","10","10","10","12.999999046325684","12.999999046325684","12.999999046325684","20.000001907348633","20.000001907348633","20.000001907348633"
"77","12","12","12","13.999998092651367","13.999998092651367","13.999998092651367","25.000001907348633","25.000001907348633","25.000001907348633"
"78","12","12","12","12.999999046325684","12.999999046325684","12.999999046325684","23.000001907348633","23.000001907348633","23.000001907348633"
"79","10","10","10","18","18","18","24","24","24"
"80","7.000000953674316","7.000000953674316","7.000000953674316","16","16","16","24","24","24"
"81","15.000000953674316","15.000000953674316","15.000000953674316","12","12","12","19","19","19"
"82","8","8","8","16","16","16","25.000001907348633","25.000001907348633","25.000001907348633"
"83","14.000001907348633","14.000001907348633","14.000001907348633","18","18","18","21.000001907348633","21.000001907348633","21.000001907348633"
"84","7.000000953674316","7.000000953674316","7.000000953674316","16","16","16","22.000001907348633","22.000001907348633","22.000001907348633"
"85","19","19","19","17","17","17","25.000001907348633","25.000001907348633","25.000001907348633"
"86","15.000000953674316","15.000000953674316","15.000000953674316","14.000001907348633","14.000001907348633","14.000001907348633","22.000001907348633","22.000001907348633","22.000001907348633"
"87","12","12","12","14.000001907348633","14.000001907348633","14.000001907348633","24","24","24"
"88","17","17","17","16","16","16","24","24","24"
"89","12","12","12","18","18","18","20.000001907348633","20.000001907348633","20.000001907348633"
"90","7.000000953674316","7.000000953674316","7.000000953674316","12.999999046325684","12.999999046325684","12.999999046325684","22.000001907348633","22.000001907348633","22.000001907348633"
"91","10","10","10","16","16","16","23.000001907348633","23.000001907348633","23.000001907348633"
"92","12.999999046325684","12.999999046325684","12.999999046325684","17","17","17","25.000001907348633","25.000001907348633","25.000001907348633"
"93","18","18","18","18","18","18","21.000001907348633","21.000001907348633","21.000001907348633"
"94","12.999999046325684","12.999999046325684","12.999999046325684","17.95882797241211","17.95882797241211","17.95882797241211","24","24","24"
"95","7.000000953674316","7.000000953674316","7.000000953674316","12","12","12","21.000001907348633","21.000001907348633","21.000001907348633"
"96","17","17","17","17","17","17","24","24","24"
"97","17","17","17","19","19","19","25.000001907348633","25.000001907348633","25.000001907348633"
"98","11.000000953674316","11.000000953674316","11.000000953674316","11.000000953674316","11.000000953674316","11.000000953674316","25.999998092651367","25.999998092651367","25.999998092651367"
"99","9","9","9","12.999999046325684","12.999999046325684","12.999999046325684","20.000001907348633","20.000001907348633","20.000001907348633"
"100","14.000001907348633","14.000001907348633","14.000001907348633","17","17","17","25.999998092651367","25.999998092651367","25.999998092651367"
