"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS+)__MAX"
"23","0.8288447909284196","0.8288447909284196","0.8288447909284196","0.6793054571226083","0.6793054571226083","0.6793054571226083","0.533309709425939","0.533309709425939","0.533309709425939"
"24","0.657689581856839","0.657689581856839","0.657689581856839","0.5407512402551382","0.5407512402551382","0.5407512402551382","0.5038979447200567","0.5038979447200567","0.5038979447200567"
"25","0.6456413890857547","0.6456413890857547","0.6456413890857547","0.5134656272147413","0.5134656272147413","0.5134656272147413","0.6991495393338057","0.6991495393338057","0.6991495393338057"
"26","0.758681785967399","0.758681785967399","0.758681785967399","0.6530829199149539","0.6530829199149539","0.6530829199149539","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"27","0.7494684620836287","0.7494684620836287","0.7494684620836287","0.5701630049610206","0.5701630049610206","0.5701630049610206","0.46243798724309004","0.46243798724309004","0.46243798724309004"
"28","0.601346562721474","0.601346562721474","0.601346562721474","0.6378454996456414","0.6378454996456414","0.6378454996456414","0.6162296243798725","0.6162296243798725","0.6162296243798725"
"29","0.8348688873139618","0.8348688873139618","0.8348688873139618","0.7218284904323174","0.7218284904323174","0.7218284904323174","0.4571226080793763","0.4571226080793763","0.4571226080793763"
"30","0.8571934798015591","0.8571934798015591","0.8571934798015591","0.6289865343727853","0.6289865343727853","0.6289865343727853","0.5400425230333097","0.5400425230333097","0.5400425230333097"
"31","0.7579730687455705","0.7579730687455705","0.7579730687455705","0.582211197732105","0.582211197732105","0.582211197732105","0.5","0.5","0.5"
"32","0.6878100637845499","0.6878100637845499","0.6878100637845499","0.5467753366406803","0.5467753366406803","0.5467753366406803","0.5513819985825655","0.5513819985825655","0.5513819985825655"
"33","0.8369950389794473","0.8369950389794473","0.8369950389794473","0.5907158043940468","0.5907158043940468","0.5907158043940468","0.5634301913536499","0.5634301913536499","0.5634301913536499"
"34","0.6750531537916372","0.6750531537916372","0.6750531537916372","0.6410347271438696","0.6410347271438696","0.6410347271438696","0.48051027639971655","0.48051027639971655","0.48051027639971655"
"35","0.5988660524450745","0.5988660524450745","0.5988660524450745","0.7111977321048901","0.7111977321048901","0.7111977321048901","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"36","0.7689581856839123","0.7689581856839123","0.7689581856839123","0.6874557051736356","0.6874557051736356","0.6874557051736356","0.48051027639971655","0.48051027639971655","0.48051027639971655"
"37","0.6282778171509568","0.6282778171509568","0.6282778171509568","0.732459248759745","0.732459248759745","0.732459248759745","0.4858256555634302","0.4858256555634302","0.4858256555634302"
"38","0.8114812189936216","0.8114812189936216","0.8114812189936216","0.5641389085754783","0.5641389085754783","0.5641389085754783","0.49184975194897235","0.49184975194897235","0.49184975194897235"
"39","0.8107725017717932","0.8107725017717932","0.8107725017717932","0.6229624379872432","0.6229624379872432","0.6229624379872432","0.5520907158043941","0.5520907158043941","0.5520907158043941"
"40","0.8469170800850461","0.8469170800850461","0.8469170800850461","0.6296952515946137","0.6296952515946137","0.6296952515946137","0.5099220411055989","0.5099220411055989","0.5099220411055989"
"41","0.770021261516655","0.770021261516655","0.770021261516655","0.6350106307583274","0.6350106307583274","0.6350106307583274","0.5106307583274273","0.5106307583274273","0.5106307583274273"
"42","0.5928419560595323","0.5928419560595323","0.5928419560595323","0.6109142452161588","0.6109142452161588","0.6109142452161588","0.4631467044649185","0.4631467044649185","0.4631467044649185"
"43","0.6637136782423813","0.6637136782423813","0.6637136782423813","0.6583982990786676","0.6583982990786676","0.6583982990786676","0.45038979447200567","0.45038979447200567","0.45038979447200567"
