"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] F1 (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] F1 (DiBS+)__MAX"
"64","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.38095238095238093","0.38095238095238093","0.38095238095238093","0.06666666666666667","0.06666666666666667","0.06666666666666667"
"65","0.5333333333333333","0.5333333333333333","0.5333333333333333","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"66","0.4444444444444445","0.4444444444444445","0.4444444444444445","0.3478260869565218","0.3478260869565218","0.3478260869565218","0.12903225806451615","0.12903225806451615","0.12903225806451615"
"67","0.6428571428571428","0.6428571428571428","0.6428571428571428","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.12121212121212122","0.12121212121212122","0.12121212121212122"
"68","0.5625","0.5625","0.5625","0.1739130434782609","0.1739130434782609","0.1739130434782609","0.2580645161290323","0.2580645161290323","0.2580645161290323"
"69","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.4347826086956522","0.4347826086956522","0.4347826086956522","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"70","0.6206896551724139","0.6206896551724139","0.6206896551724139","0.24","0.24","0.24","0.07999999999999999","0.07999999999999999","0.07999999999999999"
"71","0.7500000000000001","0.7500000000000001","0.7500000000000001","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.0625","0.0625","0.0625"
"72","0.41379310344827586","0.41379310344827586","0.41379310344827586","0.45454545454545453","0.45454545454545453","0.45454545454545453","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"73","0.3870967741935484","0.3870967741935484","0.3870967741935484","0.16666666666666666","0.16666666666666666","0.16666666666666666","0.1935483870967742","0.1935483870967742","0.1935483870967742"
"74","0.9090909090909091","0.9090909090909091","0.9090909090909091","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.28571428571428575","0.28571428571428575","0.28571428571428575"
