"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUPRC (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUPRC (DiBS+)__MAX"
"67","0.7137967914438503","0.7137967914438503","0.7137967914438503","0.6781465919701214","0.6781465919701214","0.6781465919701214","0.19632352941176473","0.19632352941176473","0.19632352941176473"
"68","0.6047058823529412","0.6047058823529412","0.6047058823529412","0.32346702317290554","0.32346702317290554","0.32346702317290554","0.3255042016806723","0.3255042016806723","0.3255042016806723"
"69","0.7955882352941177","0.7955882352941177","0.7955882352941177","0.6237254901960785","0.6237254901960785","0.6237254901960785","0.3002941176470588","0.3002941176470588","0.3002941176470588"
"70","0.6797058823529412","0.6797058823529412","0.6797058823529412","0.33205882352941174","0.33205882352941174","0.33205882352941174","0.17191176470588238","0.17191176470588238","0.17191176470588238"
"71","0.8738655462184874","0.8738655462184874","0.8738655462184874","0.533235294117647","0.533235294117647","0.533235294117647","0.1427450980392157","0.1427450980392157","0.1427450980392157"
"72","0.4814705882352941","0.4814705882352941","0.4814705882352941","0.7070588235294117","0.7070588235294117","0.7070588235294117","0.33649321266968324","0.33649321266968324","0.33649321266968324"
"73","0.4457563025210084","0.4457563025210084","0.4457563025210084","0.2766806722689076","0.2766806722689076","0.2766806722689076","0.2653781512605042","0.2653781512605042","0.2653781512605042"
"74","0.9199264705882353","0.9199264705882353","0.9199264705882353","0.5019034886681946","0.5019034886681946","0.5019034886681946","0.3459477124183007","0.3459477124183007","0.3459477124183007"
"75","0.6225232198142414","0.6225232198142414","0.6225232198142414","0.5304575163398693","0.5304575163398693","0.5304575163398693","0.30823529411764705","0.30823529411764705","0.30823529411764705"
"76","0.6933823529411764","0.6933823529411764","0.6933823529411764","0.5773206205559147","0.5773206205559147","0.5773206205559147","0.36446524064171126","0.36446524064171126","0.36446524064171126"
"77","0.685929241261722","0.685929241261722","0.685929241261722","0.5441456582633053","0.5441456582633053","0.5441456582633053","0.3002941176470588","0.3002941176470588","0.3002941176470588"
