"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] precision (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] precision (DiBS+)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] precision (DiBS+)__MAX"
"71","0.8","0.8","0.8","0.75","0.75","0.75","0.06666666666666667","0.06666666666666667","0.06666666666666667"
"72","0.5","0.5","0.5","1","1","1","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"73","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"74","0.9375","0.9375","0.9375","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.2777777777777778","0.2777777777777778","0.2777777777777778"
"75","0.5833333333333334","0.5833333333333334","0.5833333333333334","0.5","0.5","0.5","0.3","0.3","0.3"
"76","0.875","0.875","0.875","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.36363636363636365","0.36363636363636365","0.36363636363636365"
"77","0.6666666666666666","0.6666666666666666","0.6666666666666666","1","1","1","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"78","0.6428571428571429","0.6428571428571429","0.6428571428571429","0.7","0.7","0.7","0.26666666666666666","0.26666666666666666","0.26666666666666666"
"79","0.7142857142857143","0.7142857142857143","0.7142857142857143","0","0","0","0.1875","0.1875","0.1875"
"80","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.5384615384615384","0.5384615384615384","0.5384615384615384","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"81","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.3076923076923077","0.3076923076923077","0.3076923076923077"
"82","0.8461538461538461","0.8461538461538461","0.8461538461538461","0.6","0.6","0.6","0.125","0.125","0.125"
"83","0.5714285714285714","0.5714285714285714","0.5714285714285714","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.21428571428571427","0.21428571428571427","0.21428571428571427"
"84","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.4","0.4","0.4","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"85","0.375","0.375","0.375","0.42857142857142855","0.42857142857142855","0.42857142857142855","0.1875","0.1875","0.1875"
"86","0.5","0.5","0.5","0.8","0.8","0.8","0.23076923076923078","0.23076923076923078","0.23076923076923078"
"87","0.6111111111111112","0.6111111111111112","0.6111111111111112","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.16666666666666666","0.16666666666666666","0.16666666666666666"
"88","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.5","0.5","0.5","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"89","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"90","1","1","1","1","1","1","0.2727272727272727","0.2727272727272727","0.2727272727272727"
"91","0.6875","0.6875","0.6875","0.5","0.5","0.5","0.2777777777777778","0.2777777777777778","0.2777777777777778"
"92","0.6363636363636364","0.6363636363636364","0.6363636363636364","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2","0.2","0.2"
"93","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.47058823529411764","0.3333333333333333","0.3333333333333333","0.3333333333333333"
"94","0.625","0.625","0.625","0.4166666666666667","0.4166666666666667","0.4166666666666667","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"95","0.8461538461538461","0.8461538461538461","0.8461538461538461","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.2777777777777778","0.2777777777777778","0.2777777777777778"
"96","0.45","0.45","0.45","0.5","0.5","0.5","0.25","0.25","0.25"
"97","0.42105263157894735","0.42105263157894735","0.42105263157894735","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.14285714285714285","0.14285714285714285","0.14285714285714285"
"98","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.8","0.8","0.8","0.1875","0.1875","0.1875"
"99","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.7142857142857143","0.7142857142857143","0.7142857142857143","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"100","0.5625","0.5625","0.5625","0.5","0.5","0.5","0.06666666666666667","0.06666666666666667","0.06666666666666667"
