"Step","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [true] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [learned] F1 (GES)__MAX","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MIN","linear_SCM_learned_d4_900_GES_PC - [noisy] F1 (GES)__MAX"
"37","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"38","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2","0.2","0.2","0.6666666666666666","0.6666666666666666","0.6666666666666666"
"39","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.3333333333333333","0.3333333333333333","0.3333333333333333","0.3636363636363636","0.3636363636363636","0.3636363636363636"
"40","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.5","0.5","0.5","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"41","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.8","0.8","0.8","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"42","0.4","0.4","0.4","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.2","0.2","0.2"
"43","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.7272727272727272"
"44","0.5","0.5","0.5","0.6","0.6","0.6","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"45","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"46","0.2","0.2","0.2","0.3636363636363636","0.3636363636363636","0.3636363636363636","0.1818181818181818","0.1818181818181818","0.1818181818181818"
"47","0.7272727272727272","0.7272727272727272","0.7272727272727272","0.1818181818181818","0.1818181818181818","0.1818181818181818","0.5454545454545454","0.5454545454545454","0.5454545454545454"
"48","0.5454545454545454","0.5454545454545454","0.5454545454545454","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666"
