"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] neg. LL (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] neg. LL (DiBS+)__MAX"
"40","617.6201782226562","617.6201782226562","617.6201782226562","553.4815673828125","553.4815673828125","553.4815673828125","1568.943359375","1568.943359375","1568.943359375"
"41","649.6128540039062","649.6128540039062","649.6128540039062","722.8642578125","722.8642578125","722.8642578125","2833.2470703125","2833.2470703125","2833.2470703125"
"42","644.9815063476562","644.9815063476562","644.9815063476562","672.9246826171875","672.9246826171875","672.9246826171875","1917.17138671875","1917.17138671875","1917.17138671875"
"43","555.8330688476562","555.8330688476562","555.8330688476562","620.7188110351562","620.7188110351562","620.7188110351562","1631.505126953125","1631.505126953125","1631.505126953125"
"44","594.9715576171875","594.9715576171875","594.9715576171875","708.2860717773438","708.2860717773438","708.2860717773438","1718.8199462890625","1718.8199462890625","1718.8199462890625"
"45","619.1484985351562","619.1484985351562","619.1484985351562","677.486572265625","677.486572265625","677.486572265625","2085.793701171875","2085.793701171875","2085.793701171875"
"46","607.7286376953125","607.7286376953125","607.7286376953125","722.1228637695312","722.1228637695312","722.1228637695312","1894.425537109375","1894.425537109375","1894.425537109375"
"47","564.99951171875","564.99951171875","564.99951171875","674.7655029296875","674.7655029296875","674.7655029296875","2142.25390625","2142.25390625","2142.25390625"
"48","588.9502563476562","588.9502563476562","588.9502563476562","794.4677734375","794.4677734375","794.4677734375","1855.140625","1855.140625","1855.140625"
"49","565.6402587890625","565.6402587890625","565.6402587890625","816.8712768554688","816.8712768554688","816.8712768554688","1866.7198486328125","1866.7198486328125","1866.7198486328125"
