"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] F1 (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] F1 (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] F1 (DiBS)__MAX"
"25","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"26","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.5","0.5","0.5","0","0","0"
"27","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.6666666666666666","0","0","0"
"28","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.25","0.25","0.25"
"29","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"30","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"31","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"32","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"33","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"34","0","0","0","0.33333333333333337","0.33333333333333337","0.33333333333333337","0","0","0"
"35","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"36","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0"
"37","0.4444444444444444","0.4444444444444444","0.4444444444444444","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"38","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0.5","0.5","0.5"
"39","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.25","0.25","0.25"
"40","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"41","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5"
"42","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.8","0.8","0.8","0","0","0"
"43","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"44","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"45","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"46","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"47","0.5","0.5","0.5","0.5","0.5","0.5","0","0","0"
"48","0.8","0.8","0.8","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0"
"49","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0"
"50","0.2857142857142857","0.2857142857142857","0.2857142857142857","0","0","0","0","0","0"
"51","0","0","0","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.2857142857142857"
"52","0.2857142857142857","0.2857142857142857","0.2857142857142857","0.5","0.5","0.5","0.5","0.5","0.5"
"53","0.5","0.5","0.5","0.6666666666666666","0.6666666666666666","0.6666666666666666","0.5","0.5","0.5"
"54","0.5","0.5","0.5","0","0","0","0","0","0"
"55","0.5","0.5","0.5","0","0","0","0","0","0"
