"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS+)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS+)__MAX"
"36","1","1","1","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.6583333333333334","0.6583333333333334","0.6583333333333334"
"37","0.8583333333333334","0.8583333333333334","0.8583333333333334","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.75","0.75","0.75"
"38","0.675","0.675","0.675","1","1","1","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"39","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"40","0.6333333333333333","0.6333333333333333","0.6333333333333333","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.8166666666666668","0.8166666666666668","0.8166666666666668"
"41","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"42","0.8666666666666667","0.8666666666666667","0.8666666666666667","1","1","1","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"43","0.9166666666666666","0.9166666666666666","0.9166666666666666","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"44","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"45","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"46","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.6583333333333334","0.6583333333333334","0.6583333333333334","0.35","0.35","0.35"
"47","1","1","1","0.75","0.75","0.75","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"48","1","1","1","0.75","0.75","0.75","1","1","1"
"49","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.75","0.75","0.75","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"50","0.925","0.925","0.925","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"51","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.7333333333333333","0.7333333333333333","0.7333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"52","0.7916666666666667","0.7916666666666667","0.7916666666666667","1","1","1","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"53","1","1","1","1","1","1","0.9000000000000001","0.9000000000000001","0.9000000000000001"
"54","0.775","0.775","0.775","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"55","0.9750000000000001","0.9750000000000001","0.9750000000000001","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"56","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.9000000000000001","0.9000000000000001","0.9000000000000001"
"57","0.75","0.75","0.75","0.43333333333333335","0.43333333333333335","0.43333333333333335","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"58","0.775","0.775","0.775","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"59","0.925","0.925","0.925","0.6500000000000001","0.6500000000000001","0.6500000000000001","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"60","0.8416666666666668","0.8416666666666668","0.8416666666666668","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8083333333333333","0.8083333333333333","0.8083333333333333"
"61","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"62","1","1","1","0.8545454545454545","0.8545454545454545","0.8545454545454545","0.7545454545454545","0.7545454545454545","0.7545454545454545"
"63","0.9909090909090909","0.9909090909090909","0.9909090909090909","0.8545454545454545","0.8545454545454545","0.8545454545454545","0.5636363636363636","0.5636363636363636","0.5636363636363636"
"64","0.775","0.775","0.775","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.6166666666666668","0.6166666666666668","0.6166666666666668"
"65","1","1","1","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.6500000000000001","0.6500000000000001","0.6500000000000001"
"66","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8083333333333333","0.8083333333333333","0.8083333333333333","0.75","0.75","0.75"
"67","0.9666666666666668","0.9666666666666668","0.9666666666666668","0.5666666666666667","0.5666666666666667","0.5666666666666667","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"68","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8083333333333333","0.8083333333333333","0.8083333333333333"
"69","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8666666666666667","0.8666666666666667","0.8666666666666667"
"70","0.9333333333333333","0.9333333333333333","0.9333333333333333","1","1","1","0.6916666666666665","0.6916666666666665","0.6916666666666665"
"71","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.6749999999999999","0.6749999999999999","0.6749999999999999","0.8250000000000001","0.8250000000000001","0.8250000000000001"
"72","1","1","1","0.4666666666666666","0.4666666666666666","0.4666666666666666","0.6583333333333332","0.6583333333333332","0.6583333333333332"
"73","0.609090909090909","0.609090909090909","0.609090909090909","0.509090909090909","0.509090909090909","0.509090909090909","0.5909090909090908","0.5909090909090908","0.5909090909090908"
"74","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8166666666666667","0.8166666666666667","0.8166666666666667","0.6166666666666667","0.6166666666666667","0.6166666666666667"
"75","0.675","0.675","0.675","0.8250000000000001","0.8250000000000001","0.8250000000000001","0.6666666666666665","0.6666666666666665","0.6666666666666665"
"76","0.75","0.75","0.75","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"77","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.8","0.8","0.8"
"78","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.6749999999999999","0.6749999999999999","0.6749999999999999"
"79","0.9583333333333334","0.9583333333333334","0.9583333333333334","0.6500000000000001","0.6500000000000001","0.6500000000000001","0.6166666666666667","0.6166666666666667","0.6166666666666667"
"80","0.8999999999999999","0.8999999999999999","0.8999999999999999","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"81","0.9083333333333334","0.9083333333333334","0.9083333333333334","0.6166666666666667","0.6166666666666667","0.6166666666666667","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"82","0.7249999999999999","0.7249999999999999","0.7249999999999999","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"83","0.8583333333333334","0.8583333333333334","0.8583333333333334","0.575","0.575","0.575","0.43333333333333335","0.43333333333333335","0.43333333333333335"
"84","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.7833333333333334","0.7833333333333334","0.7833333333333334","0.7","0.7","0.7"
"85","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.75","0.75","0.75"
"86","0.8333333333333334","0.8333333333333334","0.8333333333333334","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.8333333333333334","0.8333333333333334","0.8333333333333334"
"87","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.8500000000000001","0.8500000000000001","0.8500000000000001","0.775","0.775","0.775"
"88","0.9083333333333334","0.9083333333333334","0.9083333333333334","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"89","1","1","1","0.7166666666666666","0.7166666666666666","0.7166666666666666","0.7333333333333334","0.7333333333333334","0.7333333333333334"
"90","0.7833333333333333","0.7833333333333333","0.7833333333333333","0.8","0.8","0.8","0.5166666666666666","0.5166666666666666","0.5166666666666666"
"91","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"92","0.8250000000000001","0.8250000000000001","0.8250000000000001","0.9166666666666667","0.9166666666666667","0.9166666666666667","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"93","0.9750000000000001","0.9750000000000001","0.9750000000000001","0.6666666666666667","0.6666666666666667","0.6666666666666667","0.5666666666666667","0.5666666666666667","0.5666666666666667"
"94","0.8333333333333333","0.8333333333333333","0.8333333333333333","0.7333333333333334","0.7333333333333334","0.7333333333333334","0.9166666666666667","0.9166666666666667","0.9166666666666667"
"95","0.8250000000000001","0.8250000000000001","0.8250000000000001","0.7000000000000001","0.7000000000000001","0.7000000000000001","0.75","0.75","0.75"
"96","1","1","1","0.775","0.775","0.775","0.8333333333333333","0.8333333333333333","0.8333333333333333"
"97","1","1","1","0.8583333333333334","0.8583333333333334","0.8583333333333334","0.7000000000000001","0.7000000000000001","0.7000000000000001"
"98","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.7416666666666666","0.7416666666666666","0.7416666666666666","0.75","0.75","0.75"
"99","0.9916666666666667","0.9916666666666667","0.9916666666666667","0.8916666666666667","0.8916666666666667","0.8916666666666667","0.7833333333333333","0.7833333333333333","0.7833333333333333"
"100","0.8818181818181818","0.8818181818181818","0.8818181818181818","0.9","0.9","0.9","0.5545454545454545","0.5545454545454545","0.5545454545454545"
