"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] E-SHD (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] E-SHD (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] E-SHD (DiBS)__MAX"
"53","2.9473679065704346","2.9473679065704346","2.9473679065704346","2.736842155456543","2.736842155456543","2.736842155456543","3.277777671813965","3.277777671813965","3.277777671813965"
"54","3.5500004291534424","3.5500004291534424","3.5500004291534424","4.5789475440979","4.5789475440979","4.5789475440979","4.315789222717285","4.315789222717285","4.315789222717285"
"55","3.4999992847442627","3.4999992847442627","3.4999992847442627","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.684211254119873","4.684211254119873","4.684211254119873"
"56","3.888888120651245","3.888888120651245","3.888888120651245","3.049999237060547","3.049999237060547","3.049999237060547","3.7222228050231934","3.7222228050231934","3.7222228050231934"
"57","4.299999237060547","4.299999237060547","4.299999237060547","4.84999942779541","4.84999942779541","4.84999942779541","4.550000190734863","4.550000190734863","4.550000190734863"
"58","3.5999999046325684","3.5999999046325684","3.5999999046325684","2.789473533630371","2.789473533630371","2.789473533630371","4.34999942779541","4.34999942779541","4.34999942779541"
"59","3.1052634716033936","3.1052634716033936","3.1052634716033936","4.149999141693115","4.149999141693115","4.149999141693115","4.11764669418335","4.11764669418335","4.11764669418335"
"60","3.84999942779541","3.84999942779541","3.84999942779541","3.9499990940093994","3.9499990940093994","3.9499990940093994","4.25","4.25","4.25"
"61","2.8235297203063965","2.8235297203063965","2.8235297203063965","3.4999992847442627","3.4999992847442627","3.4999992847442627","4.187500953674316","4.187500953674316","4.187500953674316"
"62","2.055555820465088","2.055555820465088","2.055555820465088","3.2105259895324707","3.2105259895324707","3.2105259895324707","3.9374992847442627","3.9374992847442627","3.9374992847442627"
"63","3.9499990940093994","3.9499990940093994","3.9499990940093994","3.6315791606903076","3.6315791606903076","3.6315791606903076","3.7894740104675293","3.7894740104675293","3.7894740104675293"
"64","3.9499990940093994","3.9499990940093994","3.9499990940093994","4.25","4.25","4.25","4.368420600891113","4.368420600891113","4.368420600891113"
"65","2.941176652908325","2.941176652908325","2.941176652908325","3.7777774333953857","3.7777774333953857","3.7777774333953857","3.9285712242126465","3.9285712242126465","3.9285712242126465"
"66","4.099999904632568","4.099999904632568","4.099999904632568","4.1999993324279785","4.1999993324279785","4.1999993324279785","3.888888120651245","3.888888120651245","3.888888120651245"
"67","3.263157606124878","3.263157606124878","3.263157606124878","4.450000286102295","4.450000286102295","4.450000286102295","4.333333969116211","4.333333969116211","4.333333969116211"
"68","3.529412031173706","3.529412031173706","3.529412031173706","3.222221851348877","3.222221851348877","3.222221851348877","3.947368860244751","3.947368860244751","3.947368860244751"
"69","2.8999996185302734","2.8999996185302734","2.8999996185302734","4.400000095367432","4.400000095367432","4.400000095367432","3.947368860244751","3.947368860244751","3.947368860244751"
"70","3.1499993801116943","3.1499993801116943","3.1499993801116943","3.049999237060547","3.049999237060547","3.049999237060547","3.84999942779541","3.84999942779541","3.84999942779541"
"71","3.799999713897705","3.799999713897705","3.799999713897705","4.210526466369629","4.210526466369629","4.210526466369629","4.600000381469727","4.600000381469727","4.600000381469727"
"72","4.099999904632568","4.099999904632568","4.099999904632568","4","4","4","4.450000286102295","4.450000286102295","4.450000286102295"
"73","4.099999904632568","4.099999904632568","4.099999904632568","4.5","4.5","4.5","4.315789222717285","4.315789222717285","4.315789222717285"
"74","3.157895088195801","3.157895088195801","3.157895088195801","3.5500004291534424","3.5500004291534424","3.5500004291534424","5.1333327293396","5.1333327293396","5.1333327293396"
"75","4.099999904632568","4.099999904632568","4.099999904632568","4.450000286102295","4.450000286102295","4.450000286102295","4.84999942779541","4.84999942779541","4.84999942779541"
"76","3.700000286102295","3.700000286102295","3.700000286102295","3.7777774333953857","3.7777774333953857","3.7777774333953857","3.894737482070923","3.894737482070923","3.894737482070923"
"77","3.3684213161468506","3.3684213161468506","3.3684213161468506","4.34999942779541","4.34999942779541","4.34999942779541","4.222221851348877","4.222221851348877","4.222221851348877"
"78","3.3684213161468506","3.3684213161468506","3.3684213161468506","4.611110210418701","4.611110210418701","4.611110210418701","4.437500953674316","4.437500953674316","4.437500953674316"
"79","3.4999992847442627","3.4999992847442627","3.4999992847442627","3.9499990940093994","3.9499990940093994","3.9499990940093994","3.9411771297454834","3.9411771297454834","3.9411771297454834"
"80","3.5999999046325684","3.5999999046325684","3.5999999046325684","3.8421061038970947","3.8421061038970947","3.8421061038970947","4.400000095367432","4.400000095367432","4.400000095367432"
"81","3.6842100620269775","3.6842100620269775","3.6842100620269775","4.099999904632568","4.099999904632568","4.099999904632568","4.684211254119873","4.684211254119873","4.684211254119873"
"82","4.050000190734863","4.050000190734863","4.050000190734863","3.5999999046325684","3.5999999046325684","3.5999999046325684","3.90000057220459","3.90000057220459","3.90000057220459"
"83","3.450000047683716","3.450000047683716","3.450000047683716","4.315789222717285","4.315789222717285","4.315789222717285","4.5333333015441895","4.5333333015441895","4.5333333015441895"
"84","4.1999993324279785","4.1999993324279785","4.1999993324279785","4.050000190734863","4.050000190734863","4.050000190734863","4.44444465637207","4.44444465637207","4.44444465637207"
"85","2.450000286102295","2.450000286102295","2.450000286102295","3.421053171157837","3.421053171157837","3.421053171157837","3.8333332538604736","3.8333332538604736","3.8333332538604736"
"86","3.450000047683716","3.450000047683716","3.450000047683716","3.4999992847442627","3.4999992847442627","3.4999992847442627","3.8124992847442627","3.8124992847442627","3.8124992847442627"
"87","3.049999237060547","3.049999237060547","3.049999237060547","4.400000095367432","4.400000095367432","4.400000095367432","3.90000057220459","3.90000057220459","3.90000057220459"
"88","3.450000047683716","3.450000047683716","3.450000047683716","3.1052634716033936","3.1052634716033936","3.1052634716033936","4","4","4"
"89","3.888888120651245","3.888888120651245","3.888888120651245","4.550000190734863","4.550000190734863","4.550000190734863","3.750000238418579","3.750000238418579","3.750000238418579"
"90","3.4999992847442627","3.4999992847442627","3.4999992847442627","3.90000057220459","3.90000057220459","3.90000057220459","5.000000476837158","5.000000476837158","5.000000476837158"
"91","2.944444179534912","2.944444179534912","2.944444179534912","3.437500238418579","3.437500238418579","3.437500238418579","3.4999992847442627","3.4999992847442627","3.4999992847442627"
"92","3.315789222717285","3.315789222717285","3.315789222717285","3.5999999046325684","3.5999999046325684","3.5999999046325684","4.099999904632568","4.099999904632568","4.099999904632568"
"93","3.894737482070923","3.894737482070923","3.894737482070923","4.400000095367432","4.400000095367432","4.400000095367432","4.789473533630371","4.789473533630371","4.789473533630371"
"94","3.947368860244751","3.947368860244751","3.947368860244751","4.149999141693115","4.149999141693115","4.149999141693115","4.1666669845581055","4.1666669845581055","4.1666669845581055"
"95","3.157895088195801","3.157895088195801","3.157895088195801","4.052631378173828","4.052631378173828","4.052631378173828","4.55555534362793","4.55555534362793","4.55555534362793"
"96","2.3684213161468506","2.3684213161468506","2.3684213161468506","3.263157606124878","3.263157606124878","3.263157606124878","4.105264186859131","4.105264186859131","4.105264186859131"
"97","2.950000047683716","2.950000047683716","2.950000047683716","2.500000238418579","2.500000238418579","2.500000238418579","4.11764669418335","4.11764669418335","4.11764669418335"
"98","3.4999992847442627","3.4999992847442627","3.4999992847442627","4","4","4","4.235294342041016","4.235294342041016","4.235294342041016"
"99","3.263157606124878","3.263157606124878","3.263157606124878","3.7894740104675293","3.7894740104675293","3.7894740104675293","3.8235299587249756","3.8235299587249756","3.8235299587249756"
"100","3.3684213161468506","3.3684213161468506","3.3684213161468506","3.444444179534912","3.444444179534912","3.444444179534912","4.5789475440979","4.5789475440979","4.5789475440979"
