"Step","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [true] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [learned] AUROC (DiBS)__MAX","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MIN","d4_alpha_0_2_h_latent_1_h_theta_10 - [noisy] AUROC (DiBS)__MAX"
"22","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.7416666666666667","0.7416666666666667","0.7416666666666667","0.7333333333333333","0.7333333333333333","0.7333333333333333"
"23","1","1","1","0.9249999999999999","0.9249999999999999","0.9249999999999999","0.8833333333333333","0.8833333333333333","0.8833333333333333"
"24","0.8916666666666666","0.8916666666666666","0.8916666666666666","0.825","0.825","0.825","0.8833333333333333","0.8833333333333333","0.8833333333333333"
"25","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.8416666666666667","0.8416666666666667","0.8416666666666667","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"26","0.8833333333333333","0.8833333333333333","0.8833333333333333","0.9500000000000001","0.9500000000000001","0.9500000000000001","0.8166666666666667","0.8166666666666667","0.8166666666666667"
"27","1","1","1","0.9666666666666667","0.9666666666666667","0.9666666666666667","0.7583333333333333","0.7583333333333333","0.7583333333333333"
"28","1","1","1","0.9083333333333333","0.9083333333333333","0.9083333333333333","0.825","0.825","0.825"
"29","0.9833333333333334","0.9833333333333334","0.9833333333333334","0.9","0.9","0.9","0.8","0.8","0.8"
"30","0.8666666666666667","0.8666666666666667","0.8666666666666667","0.875","0.875","0.875","0.7250000000000001","0.7250000000000001","0.7250000000000001"
"31","0.9333333333333333","0.9333333333333333","0.9333333333333333","0.875","0.875","0.875","0.8833333333333333","0.8833333333333333","0.8833333333333333"
"32","0.925","0.925","0.925","0.975","0.975","0.975","0.925","0.925","0.925"
"33","0.9249999999999999","0.9249999999999999","0.9249999999999999","0.7333333333333334","0.7333333333333334","0.7333333333333334","0.6666666666666667","0.6666666666666667","0.6666666666666667"
"34","0.9636363636363636","0.9636363636363636","0.9636363636363636","0.890909090909091","0.890909090909091","0.890909090909091","0.7727272727272727","0.7727272727272727","0.7727272727272727"
