"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] AUROC (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] AUROC (DiBS)__MAX"
"78","0.9425939050318923","0.9425939050318923","0.9425939050318923","0.7895109851169383","0.7895109851169383","0.7895109851169383","0.5513819985825655","0.5513819985825655","0.5513819985825655"
"79","0.952161587526577","0.952161587526577","0.952161587526577","0.6523742026931254","0.6523742026931254","0.6523742026931254","0.5659107016300495","0.5659107016300495","0.5659107016300495"
"80","0.9748405386250886","0.9748405386250886","0.9748405386250886","0.8550673281360737","0.8550673281360737","0.8550673281360737","0.7161587526576896","0.7161587526576896","0.7161587526576896"
"81","0.8554216867469879","0.8554216867469879","0.8554216867469879","0.7264351523742028","0.7264351523742028","0.7264351523742028","0.6240255138199858","0.6240255138199858","0.6240255138199858"
"82","0.959603118355776","0.959603118355776","0.959603118355776","0.6878100637845501","0.6878100637845501","0.6878100637845501","0.5907158043940468","0.5907158043940468","0.5907158043940468"
"83","0.8862508858965272","0.8862508858965272","0.8862508858965272","0.6601700921332389","0.6601700921332389","0.6601700921332389","0.5659107016300496","0.5659107016300496","0.5659107016300496"
"84","0.9415308291991494","0.9415308291991494","0.9415308291991494","0.7700212615166548","0.7700212615166548","0.7700212615166548","0.6523742026931255","0.6523742026931255","0.6523742026931255"
"85","0.8866052445074415","0.8866052445074415","0.8866052445074415","0.7019844082211197","0.7019844082211197","0.7019844082211197","0.5779588944011339","0.5779588944011339","0.5779588944011339"
"86","0.9355067328136073","0.9355067328136073","0.9355067328136073","0.7898653437278526","0.7898653437278526","0.7898653437278526","0.7002126151665485","0.7002126151665485","0.7002126151665485"
"87","0.9656272147413182","0.9656272147413182","0.9656272147413182","0.8334514528703048","0.8334514528703048","0.8334514528703048","0.5652019844082211","0.5652019844082211","0.5652019844082211"
