"Step","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [true] recall (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [learned] recall (DiBS)__MAX","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS)","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS)__MIN","d10_alpha_0_2_h_latent_5_h_theta_200 - [noisy] recall (DiBS)__MAX"
"41","0.11764705882352941","0.11764705882352941","0.11764705882352941","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"42","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"43","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"44","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.23529411764705882","0.23529411764705882","0.23529411764705882","0","0","0"
"45","0","0","0","0","0","0","0","0","0"
"46","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"47","0.29411764705882354","0.29411764705882354","0.29411764705882354","0","0","0","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"48","0.29411764705882354","0.29411764705882354","0.29411764705882354","0","0","0","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"49","0.23529411764705882","0.23529411764705882","0.23529411764705882","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"50","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"51","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"52","0.29411764705882354","0.29411764705882354","0.29411764705882354","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"53","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"54","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"55","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.17647058823529413","0.17647058823529413","0.17647058823529413"
"56","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941"
"57","0.11764705882352941","0.11764705882352941","0.11764705882352941","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"58","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"59","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"60","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"61","0.4117647058823529","0.4117647058823529","0.4117647058823529","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"62","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"63","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"64","0.29411764705882354","0.29411764705882354","0.29411764705882354","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"65","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"66","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.11764705882352941","0.11764705882352941","0.11764705882352941","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"67","0.29411764705882354","0.29411764705882354","0.29411764705882354","0.11764705882352941","0.11764705882352941","0.11764705882352941","0","0","0"
"68","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0","0","0","0"
"69","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"70","0.23529411764705882","0.23529411764705882","0.23529411764705882","0.11764705882352941","0.11764705882352941","0.11764705882352941","0","0","0"
"71","0.4117647058823529","0.4117647058823529","0.4117647058823529","0","0","0","0","0","0"
"72","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"73","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0","0","0","0"
"74","0.17647058823529413","0.17647058823529413","0.17647058823529413","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0"
"75","0.058823529411764705","0.058823529411764705","0.058823529411764705","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"76","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"77","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0","0","0"
"78","0.35294117647058826","0.35294117647058826","0.35294117647058826","0","0","0","0.23529411764705882","0.23529411764705882","0.23529411764705882"
"79","0.23529411764705882","0.23529411764705882","0.23529411764705882","0","0","0","0","0","0"
"80","0.35294117647058826","0.35294117647058826","0.35294117647058826","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705","0.058823529411764705"
"81","0.11764705882352941","0.11764705882352941","0.11764705882352941","0","0","0","0","0","0"
"82","0.17647058823529413","0.17647058823529413","0.17647058823529413","0","0","0","0","0","0"
